DATE,COMMODITY,GOLD,STOCK_US,STOCK_EM,STOCK_EUROPE,GOVBOND_US
1/29/1988,0.026561915,-0.06921468,0.042833667,0.09838,-0.04062596,0.047577984
2/29/1988,-0.011024052,-0.053319714,0.041868908,0.00339591,0.05926593,0.009004157
3/31/1988,0.050391525,0.054769098,-0.033456463,0.107384925,0.027947615,-0.019962734
4/29/1988,0.031047185,-0.006874258,0.009183644,0.053381512,0.019013609,-0.013339774
5/31/1988,0.035301123,0.011577603,0.008602677,0.02996243,-0.018278045,-0.0134368
6/30/1988,-0.027935256,-0.042847833,0.046548771,0.033977026,-0.009707479,0.031610621
7/29/1988,0.00591666,0.002340426,-0.003091477,-0.025425091,0.002620195,-0.012434883
8/31/1988,-0.006722124,-0.01018892,-0.033542339,-0.02678538,-0.045009976,0.001005244
9/30/1988,-0.027324253,-0.086982629,0.042731908,0.064802051,0.054758439,0.03228044
10/31/1988,0.048356236,0.046460281,0.030652927,-0.006458285,0.09306908,0.022054178
11/30/1988,0.057491289,0.029358951,-0.01541278,-0.004272851,0.012708691,-0.020871767
12/30/1988,0.073115243,-0.033711295,0.016380642,0.026573191,0.005675852,0.002194807
1/31/1989,0.004166971,-0.045448391,0.076090664,-0.012604414,0.036625024,0.01744
2/28/1989,0.042952825,-0.007092199,-0.029986073,0.076505333,-0.01100019,-0.012364365
3/31/1989,0.067499651,-0.005428571,0.022537866,0.099634878,0.007609785,0.008578309
4/28/1989,0.031779245,-0.017571579,0.054335353,0.189792673,0.028124365,0.022486877
5/31/1989,-0.012801825,-0.039280667,0.038606605,0.013477462,-0.050852121,0.032009032
6/30/1989,0.034987482,0.036676305,-0.003719954,-0.121336291,0.041597333,0.041928486
7/31/1989,-0.028098251,-0.01052065,0.091681842,0.065776914,0.118091878,0.024257817
8/31/1989,0.034718233,-0.028435785,0.015141865,0.023210769,-0.012168526,-0.024936257
9/29/1989,0.059581817,0.024483355,-0.002110454,0.126039431,0.017551757,0.004448039
10/31/1989,-0.007043483,0.02205992,-0.022632691,0.014006088,-0.06520218,0.031803543
11/30/1989,0.016121468,0.099849302,0.020695894,-0.046610111,0.05589185,0.008809121
12/29/1989,0.091328679,-0.023425414,0.02257462,0.122074324,0.108015664,0.000326598
1/31/1990,-0.00438782,0.025661914,-0.064846627,0.032903087,-0.002319879,-0.025277303
2/28/1990,-0.003238995,-0.015311976,0.014899044,0.039218964,-0.023591954,-0.002882403
3/30/1990,0.007298104,-0.08913287,0.023712346,-0.135295348,0.014504634,8.84E-06
4/30/1990,-0.010471204,-0.002853488,-0.020320682,0.072139489,-0.026169648,-0.018157548
5/31/1990,-0.007375341,-0.01342017,0.092503554,0.082138597,0.081830231,0.033439275
6/29/1990,-0.01550638,-0.017403481,-0.003640564,0.034554638,0.035515108,0.01891428
7/31/1990,0.082526661,0.035881515,-0.001455471,0.08817421,0.042546751,0.01143204
8/31/1990,0.165908861,0.033017246,-0.091408821,-0.127579797,-0.098808959,-0.025665954
9/28/1990,0.229395962,0.05469679,-0.046300985,-0.127694311,-0.117347767,0.009483484
10/31/1990,-0.060517412,-0.059436302,-0.002982468,-0.018566262,0.084788855,0.017860519
11/30/1990,-0.065616207,0.007767176,0.065772428,-0.052185189,0.010466524,0.029352158
12/31/1990,-0.019673974,0.033350778,0.027879222,0.042262093,-0.014013624,0.018908942
1/31/1991,-0.09387287,-0.072237569,0.047783069,0.080845909,0.034118551,0.009701703
2/28/1991,0.013921533,0.00605429,0.069188178,0.147940936,0.087933709,0.003572283
3/29/1991,0.037624822,-0.029645341,0.024439344,0.041097809,-0.066673881,0.004830841
4/30/1991,0.022641347,0.000508337,0.003977997,0.010532018,-0.010119837,0.008373792
5/31/1991,-0.000504138,0.017122244,0.041616834,0.078460805,0.029919765,0.002368163
6/28/1991,-0.023664411,0.018682252,-0.045762063,-0.035721509,-0.083591105,-0.006101997
7/31/1991,0.051059067,-0.011376453,0.046883186,0.051844952,0.06970547,0.012585893
8/30/1991,0.015400999,-0.043995834,0.024296825,0.021070492,0.018627603,0.026607901
9/30/1991,0.007906414,0.017121511,-0.016921243,-0.038331932,0.030383876,0.030643073
10/31/1991,0.02869607,0.01055907,0.017296804,0.040806422,-0.020634502,0.00638426
11/29/1991,-0.040423297,0.028216647,-0.040361404,-0.014859131,-0.023099264,0.008723583
12/31/1991,-0.070750892,-0.039322533,0.114258574,0.112357325,0.078582111,0.053951368
1/31/1992,0.02748811,0.008073995,-0.016634205,0.115766156,0.000101246,-0.034050881
2/28/1992,-0.010998344,-0.010442541,0.01148169,0.044426953,0.004286386,0.008011317
3/31/1992,0.011206526,-0.026894114,-0.018406996,0.033835492,-0.034631219,-0.012101295
4/30/1992,0.029935035,-0.018846073,0.029291775,-0.006946428,0.055577163,0.001748913
5/29/1992,0.026879947,-0.000214615,0.004117786,-0.003587059,0.0573168,0.020907562
